title,description
Katy Perry and Justin Trudeau confirm relationship with Paris appearance,"Katy Perry and former Canadian Prime Minister Justin Trudeau have made their first public appearance as a couple, being photographed hand-in-hand during a weeke..."
"After days of tumult, what’s next for Trudeau? His options, explained - National",The Liberal government has been thrown in disarray by Chrystia Freeland's sudden resignation from cabinet. Here's what Prime Minister Justin Trudeau's options l...
"Justin Trudeau, Donald Trump meet in Florida amid tariff threats - National",Justin Trudeau flew to Florida Friday to have dinner with Donald Trump at his Mar-a-Lago club after Trump threatened to impose sweeping tariffs on Canadian prod...
Trudeau taps Dominic LeBlanc to serve as finance minister after Chrystia Freeland's shock resignation,"After Chrystia Freeland's shocking resignation as finance minister, Public Safety Minister Dominic LeBlanc was sworn in Monday to replace her as Prime Minister..."
Trudeau backs Scholz’s call to Putin over Ukraine,Justin Trudeau has expressed support for Olaf Scholz’s phone call with Vladimir Putin regarding the Ukraine conflict
Canadian finance minister slaps Trudeau with resignation letter,"Canadian Finance Minister Chrystia Freeland resigned from Justin Trudeau’s cabinet on Monday, delivering a scathing letter"
"Katy Perry & Justin Trudeau Are Instagram Official, but There’s a Catch","Justin Trudeau appeared in Katy Perry's 41st birthday video, making their relationship Instagram official."
"Trudeau to attend second day of G20 summit, return to Ottawa",OTTAWA — Prime Minister Justin Trudeau is attending the final day of the G20 summit in Brazil. He is set to go to a working session on sustainable development...
Justin Trudeau spotted at Katy Perry concert days after dining together in Montreal,"Breaking News, Sports, Manitoba, Canada"
Trudeau set to meet with Canadian premiers amid Trump tariff threat,Ontario Premier Doug Ford's office said on Tuesday that a virtual meeting of the country's premiers would take place with Trudeau on Wednesday afternoon.
Ukrainian president says Trudeau is expected to visit Ukraine on Monday,The Prime Minister’s Office says Justin Trudeau spoke with U.S. President Donald Trump on Saturday about the war in Ukraine and Canada’s efforts to combat f...
Canadian Prime Minister Justin Trudeau Faces Calls To Resign. Here’s What Could Happen Next,Canadian Prime Minister Justin Trudeau faces growing pressure to resign from his own Liberal Party after his top minister abruptly quit and criticized his han...
Trudeau says Canada 'ready' for Trump tariffs as ministers make final push in D.C.,"Prime Minister Justin Trudeau says Canada is ready to deliver a ""purposeful, forceful but reasonable, immediate"" response if U.S. President Donald Trump imposes..."
Trudeau to make announcement at 7:45 a.m. PT amid calls for resignation,The Prime Minister's Office called reporters to Rideau Cottage for 7 a.m. PT and Trudeau is set to speak at 7:45 a.m. PT.
'F*ck Trudeau? Don't Mind If I Do!',"Katy and Justin sitting in a tree, K-I-S-S-I-N-G."
"Opinion | For An India-Canada Reset, Trudeau Really Had To Go",Trudeau's departure was needed for an India-Canada reset as the strategic partnership that was put in place in 2015 now lies in shambles.
Butts says Trudeau less likely to remain leader since Freeland quit - National,Gerald Butts wrote in a Substack newsletter that Finance Minister Chrystia Freeland's surprise resignation from cabinet last week dealt Trudeau a staggering blo...
"DAVID MARCUS: Trudeau exits the stage. Canadian Truckers 1, Prime Minister 0","Back in 2015 when Justin Trudeau ascended to the prime minister role, he was supposed to be the young, sexy, brash leader who could guide the Liberal Party and ..."
"G20 summit: Trudeau set to meet Biden, other world leaders in Rio - National",The meeting will take place a day after The Associated Press reported that Biden has authorized Ukraine to use U.S.-supplied long-range missiles to strike deepe...
"Harper and Trudeau share laughs, and other lighter throne speech moments","Despite the pomp and circumstance surrounding the speech from the throne, the moments leading up to it were all but formal."
How much has Prime Minister Justin Trudeau changed Canada? The reviews are mixed,"As Trudeau prepares to step down, CBC's The House spoke to experts and analysts about the legacy he leaves behind — and whether Trudeau's transformation of Ca..."
"Larry Kudlow: Trudeau ""betrayed"" Trump at G7, ""should have known better""",On
Trump is open to using 'economic force' to acquire Canada; Trudeau responds,"Prime Minister Justin Trudeau said 'there isn’t a snowball’s chance in hell that Canada would become part of the United States,' on the same day U.S. presid..."
