title	description	snippet		Typology			Potential Categories	
Quebec Liberal caucus wants Trudeau to resign: sources	"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader. The province's caucus chair, Stéphane Lauzon, consulted with MP..."	"Quebec MPs are adding to the pressure on Prime Minister Justin Trudeau to step aside as leader.

Quebec caucus chair Stéphane Lauzon consulted with MPs individ..."		Canadian Politics				
Trudeau slams Trump's tariffs as stocks plunge	Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock markets show signs of panic among investors over...	Trudeau slams Trump's tariffs as stocks plunge Canadian Prime Minister Justin Trudeau is calling out President Trump's tariffs levied. This comes as the stock m...		US-Trump Politics				
Where does Justin Trudeau go without Chrystia Freeland?	"No minister is ever truly irreplaceable. But aside from Trudeau himself, no minister has been more central to this Liberal government than Freeland. Her explos..."	"Back in 2018 — after her star turn as the minister who took on Donald Trump — Chrystia Freeland was, in Justin Trudeau's words, ""exactly the right person to..."		Canadian Politics				
Why Canada Fell Out of Love with Justin Trudeau	He promised sunny ways but left behind a divided country	"T he morning after leading the Liberal Party to a stunning come-from-behind majority in 2015, Justin Trudeau, prime minister–in–waiting, showed up at a Mont..."		Canadian Politics				
A timeline of Justin Trudeau and Katy Perry’s relationship	Former prime minister Justin Trudeau and pop star Katy Perry have been linked since this summer when they were spotted out together in Montreal. With a recent o...	"It appears there are fireworks between Justin Trudeau and Katy Perry after all.

The former prime minister and the pop star recently made their first public app..."		Dating Life				
Justin Trudeau Attends Katy Perry 'Lifetimes' Concert in Montreal	Justin Trudeau attended Katy Perry's 'Lifetimes Tour' in Montreal days after the two were spotted walking her dog and dining together	"Justin Trudeau is seeing fireworks when it comes to Katy Perry.

The former Canadian Prime Minister, 53, was standing nearly front row at Perry’s Wednesday, J..."		Dating Life				
Ten (Other) Times Justin Trudeau Could Have Stepped Down	There have been a lot of scandals	"On January 6, Prime Minister Justin Trudeau announced that he would be stepping down as leader of the Liberal Party of Canada. It had been coming. Last month, t..."		Resignation				
Katy Perry & Justin Trudeau Pack on PDA in the Pacific	Katy Perry and a topless Justin Trudeau were spotted getting hot and heavy after months of rumored romance.	"Reading Time: 3 minutes

Katy Perry and Justin Trudeau seem to be back on … if they ever really “cooled off” to begin with.

In new photos making the roun..."		Dating Life				
Trudeau resigns as Liberal Party leader after growing pressure	Canadian Prime Minister Justin Trudeau announced his resignation on Jan. 6 in the face of rising discontent over his leadership and after the abrupt depart...	"Trudeau resigns as Liberal Party leader after growing pressure

TORONTO

Canadian Prime Minister Justin Trudeau announced his resignation on Jan. 6 in the face ..."		Resignation				
Trolls Have a Field Day over Trudeau-Perry Kiss	Netizens question both private integrity and public accountability of ex Canadian PM	The viral images of Justin Trudeau and Katy Perry kissing on her yacht in California has triggered a ruthless wave of trolling against the former Canadian PM an...		Dating Life				
