title,description,Typology,Potential Categories
Trudeau to step down as Canada's PM,,Resignation,
"Katy Perry, Justin Trudeau seen holding hands leaving Paris club",The pair's public appearance on the pop singer's 41st birthday has added fuel to growing speculation the two are in a relationship.,Personal Life,
Explainer: Why Canada's Justin Trudeau Is Under Pressure To Quit,Canadian Liberal Prime Minister Justin Trudeau is under increasing pressure to quit after Finance Minister Chrystia Freeland resigned over a policy clash on Mon...,Resignation,
What We Know About The Katy Perry-Justin Trudeau Dating Rumors,Rumors the pop star and ex-Canadian prime minister are dating heated up in recent days after pictures surfaced of the pair kissing and Perry dropped possible hi...,Personal Life,
Canadian Prime Minister Justin Trudeau announces plan to resign,"Justin Trudeau will end his nine years in power, following increasing pressure from his own party to step down.",Resignation,
Katy Perry ?Likes? Post Spoofing Her Romance With Justin Trudeau,Katy Perry dropped a 'like' on a parody post from 'The Onion' about her romance with former Canadian Prime Minister Justin Trudeau,Personal Life,
Justin Trudeau Attends Katy Perry?s Lifetimes Tour Amid Dating Rumors,"Justin Trudeau attended Katy Perry?s ?Lifetimes Tour in Montreal, Canada on July 30. Trudeau also brought his daughter, ?Ella-Grace, to the concert.",Personal Life,
Trudeau announces stepping down as Canada?s prime minister,He added that he is proud to have served Canada and its people,Resignation,
Trudeau plans on stacking Senate before retiring: source,"Prime Minister Justin Trudeau is planning a final wave of appointments to fill the 10 vacancies in the Senate before he retires in March, Radio-Canada has learn...",Canadian Politics,
Justin Trudeau says he'll resign as prime minister of Canada,"The development comes a month after Canada's deputy prime minister, Chrystia Freeland, resigned suddenly from Trudeau's cabinet.",Resignation,
Justin Trudeau announces he will resign as Canada's Prime Minister,Canadian Prime Minister Justin Trudeau has announced he will step down as leader of the ruling Liberals after nine years in office but will stay on in his post ...,Resignation,
"Justin Trudeau Exits Parliament Race, Ending His Political Career for Now",Radical leftist Prime Minister of Canada Justin Trudeau confirmed on Wednesday that he would not be running for a seat in Parliament.,Resignation,
"Major reshuffle as Trudeau faces party pressure, Trump taunts","Canadian Prime Minister Justin Trudeau on Friday shook up his cabinet, changing one-third of his team as political turmoil threatens his leadership and tensions...",US Relations,
Trudeau announces his resignation as Prime Minister of Canada,Justin Trudeau announced Monday his resignation as Prime Minister of Canada after nine years in office. His stepping down would become effective once the Libera...,Resignation,
Trudeau says Trump's Canada annexation threat 'a real thing',"Prime Minister Justin Trudeau told an economic summit Friday that President Donald Trump is serious about annexing Canada to access its natural resources, as hi...",US Relations,
Katy Perry and Justin Trudeau Pack on PDA During Yacht Outing,Katy Perry and Justin Trudeau were spotted kissing and cuddling on a yacht near Santa Barbara following her split from Orlando Bloom in June,Personal Life,
"Canada's Justin Trudeau faces internal revolt, calls for resignation grow",Rest of World News: Canadian Prime Minister Justin Trudeau faces mounting pressure to resign amid dwindling support within the Liberal Party. Following Deputy P...,Canadian Politics,
Biden says 'the world is better off' because of Trudeau,"U.S. President Joe Biden has issued a glowing review of Prime Minister Justin Trudeau's time in office, describing him as a man who left the world, the continen...",US Relations,
Katy Perry & Justin Trudeau Don?t Share the Same Feelings ? Source,Katy Perry is reportedly far more invested in her rumored romance with Justin Trudeau than the ex-Canadian prime minister is.,Personal Life,
"How does Canada define itself? 'We're not Americans,' Trudeau tells CNN",Prime Minister Justin Trudeau said Donald Trump's repeated digs about Canada becoming the 51st state are a distraction.,US Relations,
Will Justin Trudeau become first victim of Trump's tariff war?,US News: Canadian Deputy PM Chrystia Freeland's shocking resignation throws Prime Minister Justin Trudeau's government into turmoil amidst economic woes and US,US Relations,
"Canada's Justin Trudeau responds to Donald Trump's '51st state' jibe, calls him...",Trudeau called the comments a ?distraction tactic? and emphasised Canadians' pride in their national identity,US Relations,
Washington views Canada?s PM Trudeau as ?stalwart friend? of US ? official,"White House Press Secretary Karine Jean-Pierre added that the US would ""stand with"" all people of Canada as they elected a new leader",US Relations,
Race begins to replace Canadian PM Trudeau,"The race to be Canadian Prime Minister Justin Trudeau's successor kicked off on Tuesday, a day after he resigned amid a looming trade war with the United States...",Canadian Politics,
Trudeau expected to outline Canada?s response to Trump?s tariffs,Prime Minister Justin Trudeau is expected to take questions later this morning about how Canada will respond in the face of sweeping tariffs imposed by U.S. Pre...,US Relations,
Canada's Justin Trudeau Breaks Down On Camera During Farewell Speech,The glimpses of a teared-up Justin Trudeau marks one of his final moments as the Prime Minister of Canada before his Liberal Party chooses a new successor to ri...,Resignation,
Canada?s Trudeau Announces Intention to Resign as Prime Minister,"If elections were held today, the opposition Conservative Party would almost certainly take office.",Resignation,
Trudeau announces tariff deal with Trump,Canadian Prime Minister Justin Trudeau has confirmed duties suspension for at least 30 days,US Relations,
Katy Perry & Justin Trudeau Take Next Big Step in Relationship ? Source,Katy Perry and Justin Trudeau are reportedly planning to spend a romantic time together during the Christmas holiday.,Personal Life,
Canada PM Justin Trudeau could resign today?,The sheen has rubbed off the Prince Charming of international politics with predictions that he will resign today. From the Guardian: The Globe and Mail newspap...,Resignation,
"Trudeau, Biden discuss rule of law at Brazil G20 summit","Prime Minister Justin Trudeau spent his first day at the G20 leaders' summit Monday speaking in closed-door meetings about issues like continental trade, fighti...",International Politics,
Trudeau inviting premiers to Ottawa as Trump inauguration looms,Prime Minister Justin Trudeau is inviting provincial and territorial premiers to Ottawa next Wednesday to discuss Canada-U.S. relations.,Canadian Politics,
Trudeau has prorogued Parliament. Here?s what that means - National,Prime Minister Justin Trudeau said Gov. Gen. Mary Simon has agreed with his request to prorogue Parliament until March 24 as the Liberals hold a contest to repl...,Canadian Politics,
Trudeau trolls Trump after Canada bests USA at hockey,Canadian Prime Minister Justin Trudeau took a jab at President Trump after Canada's victory over the United States in an international hockey tournament.,US Relations,
Trudeau Quits: Canada faces political uncertainty and leadership change,Forty-three-year-old Trudeau?s positive political message and energetic Personality had helped the Liberals win a historic majority in Parliament in 2015.,Resignation,
Trudeau tells Canadians to ?put our politics aside? in Christmas message - National,Prime Minister Justin Trudeau struck a conciliatory and hopeful tone in his annual Christmas message as he faces growing calls to resign and questions about his...,Canadian Politics,
Trump wants Canada's economy to 'collapse' to make annexation 'easier': Justin Trudeau,US News: Canadian Prime Minister Justin Trudeau accuses US President Donald Trump of imposing tariffs to weaken Canada's economy and facilitate annexation. Thi,US Relations,
Trudeau calls idea of banning Trump from Canada ?irresponsible?,"Trudeau said he sees the idea of banning Trump as an ""irresponsible"" approach to governance and dialogue with other nations.",US Relations,
Trudeau Dancing as Antisemites Burn Down Montreal,"Demonstrators set vehicles on fire, vandalized property, and burned an effigy of Prime Minister Benjamin Netanyahu.",Canadian Politics,
"Over in Canada, PM Trudeau bites the dust","Donald Trump excels in every field, including surrealism. Leonard Cohen sang ""First we take Manhattan, then we take Berlin!"", but it",Canadian Politics,
Trudeau resigns after nearly a decade of environmental impact,"Canadian Prime Minister Justin Trudeau has overseen major advances in environmental law, as well as buying a pipeline",Resignation,
Trudeau announces he will resign as Canada's prime minister,"Justin Trudeau, Canada's longtime prime minister, announced he intends to resign as prime minister and head of his party. Trudeau faced growing opposition in Ca...",Resignation,
"Trudeau set to step down as leader, Globe reports","Breaking News, Sports, Manitoba, Canada",Resignation,
Katy Perry Subtly Debuts Justin Trudeau on Her Instagram,Katy Perry shared a clip celebrating her birthday on Instagram that features former Canadian Prime Minister Justin Trudeau.,Personal Life,
Trudeau calls tariffs dumb; says Trump wants to ruin Canadian economy,Canadian Prime Minister Justin Trudeau told U.S. President Donald Trump on Tuesday that his tariffs on Canadian imports were,US Relations,
"Justin Trudeau Says 'Made Mistakes' On Immigration, Plans Big Change","In a recent video message, Trudeau stated that Canada's population has grown rapidly over the past two years, but this growth has also been accompanied by explo...",Canadian Politics,
Justin Trudeau Is ?Much Happier Now? With Katy Perry ? Source,Sources reportedly revealed that former Canadian Prime Minister Justin Trudeau's life has,Personal Life,
Canada PM Trudeau bows out with resignation announcement amid plunging popularity,Says parliament will be suspended until March.,Resignation,
Potential scenarios for Prime Minister Justin Trudeau and the Liberals,"OTTAWA ? The Liberal government was thrown into disarray this week when Chrystia Freeland stepped down from cabinet as finance minister, reviving calls for Pr...",Canadian Politics,
"Katy Perry, Justin Trudeau Still Privately Seeing Each Other (Excl)","Katy Perry and former Canadian Prime Minister Justin Trudeau are still dating, multiple sources exclusively tell Us Weekly",Personal Life,
Justin Trudeau to resign as Canada's prime minister - what happens now?,The Canadian prime minister is stepping down after nine years at the helm. What happens now - and what led to his departure?,Resignation,
